feature_name,source_feature,feature_level,importance_value,importance_rank
numeric__bedrooms,bedrooms,TRANSFORMED,0.16320627770200372,1
numeric__accommodates,accommodates,TRANSFORMED,0.1518967774731027,2
categorical__neighbourhood_Vadhana,neighbourhood,TRANSFORMED,0.07670113451266661,3
numeric__bathrooms,bathrooms,TRANSFORMED,0.05630010412004776,4
numeric__number_of_reviews_ltm,number_of_reviews_ltm,TRANSFORMED,0.05309277466411004,5
review_score__review_scores_location,review_scores_location,TRANSFORMED,0.052335086216131456,6
categorical__neighbourhood_Khlong Toei,neighbourhood,TRANSFORMED,0.05036585300136358,7
numeric__calculated_host_listings_count,calculated_host_listings_count,TRANSFORMED,0.04832811261821189,8
numeric__host_listings_count,host_listings_count,TRANSFORMED,0.047489450336255686,9
categorical__room_type_Entire home/apt,room_type,TRANSFORMED,0.04686994267732371,10
numeric__minimum_nights,minimum_nights,TRANSFORMED,0.04543680391881207,11
numeric__host_total_listings_count,host_total_listings_count,TRANSFORMED,0.044851778654403464,12
categorical__host_response_time_N/A,host_response_time,TRANSFORMED,0.04380505411932245,13
numeric__host_acceptance_rate,host_acceptance_rate,TRANSFORMED,0.03114700034413545,14
categorical__property_base_group_Hotel / Resort,property_base_group,TRANSFORMED,0.02591862509373459,15
categorical__neighbourhood_Ratchathewi,neighbourhood,TRANSFORMED,0.02458669349995034,16
categorical__neighbourhood_Huai Khwang,neighbourhood,TRANSFORMED,0.023607954977604095,17
categorical__room_type_Private room,room_type,TRANSFORMED,0.019835736005028137,18
categorical__neighbourhood_Bang Rak,neighbourhood,TRANSFORMED,0.018071183999069033,19
categorical__room_type_Shared room,room_type,TRANSFORMED,0.01799039856274612,20
categorical__neighbourhood_Parthum Wan,neighbourhood,TRANSFORMED,0.016979313237126918,21
numeric__host_response_rate,host_response_rate,TRANSFORMED,0.016290119295430484,22
categorical__host_response_time_within an hour,host_response_time,TRANSFORMED,0.012095572320327846,23
categorical__property_base_group_House / Home,property_base_group,TRANSFORMED,0.010047418350674889,24
categorical__neighbourhood_Sathon,neighbourhood,TRANSFORMED,0.008780462578713923,25
categorical__neighbourhood_Bang Na,neighbourhood,TRANSFORMED,0.007787701431773257,26
categorical__property_base_group_Serviced Apartment / Aparthotel,property_base_group,TRANSFORMED,0.007258866999007295,27
categorical__neighbourhood_Bang Sue,neighbourhood,TRANSFORMED,0.006225456044550811,28
categorical__property_base_group_Apartment / Condo,property_base_group,TRANSFORMED,0.005305279353609876,29
categorical__neighbourhood_Phra Khanong,neighbourhood,TRANSFORMED,0.005222836882795605,30
categorical__neighbourhood_Phra Nakhon,neighbourhood,TRANSFORMED,0.005193905527759853,31
categorical__host_response_time_within a few hours,host_response_time,TRANSFORMED,0.004365489488181992,32
categorical__neighbourhood_Phaya Thai,neighbourhood,TRANSFORMED,0.004076811351211291,33
categorical__neighbourhood_Khlong San,neighbourhood,TRANSFORMED,0.004023540182809256,34
categorical__neighbourhood_Suanluang,neighbourhood,TRANSFORMED,0.0038200273962488607,35
categorical__neighbourhood_Chatu Chak,neighbourhood,TRANSFORMED,0.0036759162665866824,36
categorical__neighbourhood_Bang Kapi,neighbourhood,TRANSFORMED,0.0034282356128128412,37
categorical__neighbourhood_Don Mueang,neighbourhood,TRANSFORMED,0.003324893253084156,38
categorical__neighbourhood_Bang Khen,neighbourhood,TRANSFORMED,0.0033207831318723038,39
categorical__neighbourhood_Bang Phlat,neighbourhood,TRANSFORMED,0.0032012681809044353,40
categorical__property_base_group_Villa,property_base_group,TRANSFORMED,0.0029779760694364087,41
categorical__host_response_time_within a day,host_response_time,TRANSFORMED,0.0028318624003004517,42
categorical__neighbourhood_Din Daeng,neighbourhood,TRANSFORMED,0.0028073198157371735,43
categorical__property_base_group_Guesthouse / B&B,property_base_group,TRANSFORMED,0.0027681799076390234,44
categorical__neighbourhood_Min Buri,neighbourhood,TRANSFORMED,0.0025376053057261745,45
categorical__neighbourhood_infrequent_sklearn,neighbourhood,TRANSFORMED,0.0023778170776868135,46
categorical__neighbourhood_Phasi Charoen,neighbourhood,TRANSFORMED,0.0021956337794727006,47
categorical__property_base_group_Hostel,property_base_group,TRANSFORMED,0.0021856484884477255,48
categorical__neighbourhood_Samphanthawong,neighbourhood,TRANSFORMED,0.0021754961767965143,49
categorical__neighbourhood_Lak Si,neighbourhood,TRANSFORMED,0.0021447629458853043,50
categorical__neighbourhood_Lat Krabang,neighbourhood,TRANSFORMED,0.002040003031499509,51
categorical__neighbourhood_Bang Khae,neighbourhood,TRANSFORMED,0.0020112498871749265,52
categorical__neighbourhood_Pom Prap Sattru Phai,neighbourhood,TRANSFORMED,0.001750652067219562,53
categorical__neighbourhood_Saphan Sung,neighbourhood,TRANSFORMED,0.001684574982860795,54
categorical__neighbourhood_Pra Wet,neighbourhood,TRANSFORMED,0.0016251804946887205,55
categorical__neighbourhood_Bangkok Noi,neighbourhood,TRANSFORMED,0.0014031801635533156,56
categorical__neighbourhood_Sai Mai,neighbourhood,TRANSFORMED,0.0013874599544215016,57
categorical__neighbourhood_Wang Thong Lang,neighbourhood,TRANSFORMED,0.0013849293665296044,58
categorical__host_response_time_a few days or more,host_response_time,TRANSFORMED,0.0012492835608009045,59
categorical__neighbourhood_Thon buri,neighbourhood,TRANSFORMED,0.0012362040480606994,60
categorical__room_type_Hotel room,room_type,TRANSFORMED,0.0012287433434476044,61
categorical__neighbourhood_Bangkok Yai,neighbourhood,TRANSFORMED,0.0011827531852695757,62
categorical__neighbourhood_Bueng Kum,neighbourhood,TRANSFORMED,0.0010279329825134483,63
categorical__neighbourhood_Rat Burana,neighbourhood,TRANSFORMED,0.0009760010374302511,64
categorical__neighbourhood_Yan na wa,neighbourhood,TRANSFORMED,0.0009089423100978138,65
categorical__neighbourhood_Lat Phrao,neighbourhood,TRANSFORMED,0.0007986051387119346,66
categorical__property_base_group_Loft,property_base_group,TRANSFORMED,0.0007192996962925236,67
categorical__property_base_group_Unique Stay,property_base_group,TRANSFORMED,0.0006679499284587678,68
categorical__neighbourhood_Khan Na Yao,neighbourhood,TRANSFORMED,0.0005162377853096131,69
categorical__neighbourhood_Bang Kho laen,neighbourhood,TRANSFORMED,0.0005009287373732718,70
categorical__property_base_group_Other,property_base_group,TRANSFORMED,0.0003771651446509168,71
categorical__neighbourhood_Chom Thong,neighbourhood,TRANSFORMED,0.00031695765076358384,72
categorical__neighbourhood_Dusit,neighbourhood,TRANSFORMED,0.00029801931400118064,73
categorical__host_response_time_infrequent_sklearn,host_response_time,TRANSFORMED,0.0002755536919721635,74
categorical__neighbourhood_Taling Chan,neighbourhood,TRANSFORMED,0.0002207801280979993,75
categorical__property_base_group_infrequent_sklearn,property_base_group,TRANSFORMED,0.00014187601270896266,76
