listing_id,cluster,price,neighbourhood_cleansed,room_type,property_type,property_base_group,latitude,longitude,accommodates,bedrooms,bathrooms,beds,amenities,amenities_count,minimum_nights,minimum_nights_log,number_of_reviews,review_scores_rating,has_review,host_is_superhost,model_feature__categorical__room_type_Entire home/apt,model_feature__categorical__room_type_Hotel room,model_feature__categorical__room_type_Private room,model_feature__categorical__room_type_Shared room,model_feature__categorical__property_base_group_Apartment / Condo,model_feature__categorical__property_base_group_Guesthouse / B&B,model_feature__categorical__property_base_group_Hostel,model_feature__categorical__property_base_group_Hotel / Resort,model_feature__categorical__property_base_group_House / Home,model_feature__categorical__property_base_group_Niche / Special Stay,model_feature__categorical__property_base_group_Serviced Apartment / Aparthotel,model_feature__categorical__property_base_group_Unspecified Property Type,model_feature__categorical__property_base_group_Villa,model_feature__numeric__accommodates,model_feature__numeric__bedrooms,model_feature__numeric__bathrooms,model_feature__numeric__beds,model_feature__numeric__amenities_count,model_feature__numeric__minimum_nights_log
105042,1,5600.0,Khlong Toei,Entire home/apt,Entire rental unit,Apartment / Condo,13.73378,100.56303,5,3.0,3.5,3.0,"[""Bed linens"", ""Dryer"", ""Hot water"", ""Ethernet connection"", ""Gym"", ""Smoke alarm"", ""Host greets you"", ""Carbon monoxide alarm"", ""Essentials"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Paid parking on premises"", ""Dishes and silverware"", ""Microwave"", ""Extra pillows and blankets"", ""Coffee maker"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Oven"", ""Hangers"", ""Stove"", ""Iron"", ""Long term stays allowed"", ""TV with standard cable"", ""Air conditioning"", ""Pool"", ""Shampoo"", ""Patio or balcony""]",31,28,3.367295829986474,147,4.77,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7559934317068462,1.3858197542852202,2.0130606020525206,0.6439752145326678,0.27138002074456125,1.4675612979219916
172332,0,1170.0,Bang Sue,Entire home/apt,Entire guesthouse,Guesthouse / B&B,13.83148,100.52102,2,1.0,1.5,1.0,"[""Smoking allowed"", ""Hot water"", ""Gym"", ""Host greets you"", ""Luggage dropoff allowed"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Backyard"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave"", ""Coffee maker"", ""Hot tub"", ""Babysitter recommendations"", ""Children\u2019s dinnerware"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Hangers"", ""Stove"", ""Iron"", ""Long term stays allowed"", ""Crib"", ""TV with standard cable"", ""Air conditioning"", ""Pool"", ""Shampoo"", ""Children\u2019s books and toys"", ""High chair""]",30,3,1.3862943611198906,28,4.96,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,0.09810124575866251,-0.44679881514846587,0.2020986620338246,-0.2297165446509231
428950,0,810.0,Bang Kho laen,Entire home/apt,Entire rental unit,Apartment / Condo,13.698,100.52886,2,1.0,1.0,1.0,"[""Bed linens"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Essentials"", ""Hair dryer"", ""Self check-in"", ""Fire extinguisher"", ""Dishes and silverware"", ""Lockbox"", ""Extra pillows and blankets"", ""Cooking basics"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Hangers"", ""Iron"", ""TV with standard cable"", ""Air conditioning"", ""Dedicated workspace""]",20,1,0.6931471805599453,134,4.6,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.4907149250735418,-0.8235895779098978
811670,0,2031.0,Din Daeng,Entire home/apt,Entire home,House / Home,13.78499,100.56958,4,2.0,2.0,2.0,"[""Pets allowed"", ""Bed linens"", ""Smoking allowed"", ""Dryer"", ""Drying rack for clothing"", ""Hot water"", ""Hot water kettle"", ""Breakfast"", ""Books and reading material"", ""Essentials"", ""Kitchen"", ""Hair dryer"", ""Free street parking"", ""Portable fans"", ""Bathtub"", ""Self check-in"", ""Dishes and silverware"", ""Lockbox"", ""32 inch TV with standard cable"", ""Blender"", ""Extra pillows and blankets"", ""Toaster"", ""Dedicated workspace"", ""Baking sheet"", ""Cooking basics"", ""Barbecue utensils"", ""Freezer"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Oven"", ""Cleaning products"", ""Hangers"", ""First aid kit"", ""Iron"", ""Coffee maker: drip coffee maker, espresso machine, french press"", ""Ceiling fan"", ""Crib"", ""Air conditioning"", ""Shampoo""]",40,3,1.3862943611198906,31,4.5,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33206660386034276,0.5233466123817591,0.576841084832127,0.09858819969210096,0.8949122491411909,-0.2297165446509231
1887544,0,3735.0,Sathon,Entire home/apt,Entire condo,Apartment / Condo,13.72096,100.52911,4,2.0,2.0,2.0,"[""Paid crib - available upon request"", ""Free parking on premises"", ""Bed linens"", ""Central air conditioning"", ""Drying rack for clothing"", ""Hot water"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Shared outdoor pool - available all year, open specific hours"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Essentials"", ""Safe"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Room-darkening shades"", ""Coffee maker: Nespresso"", ""42 inch HDTV with premium cable, standard cable"", ""Bathtub"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave"", ""Shower gel"", ""Toaster"", ""Laundromat nearby"", ""Dedicated workspace"", ""Single level home"", ""Free washer \u2013 In unit"", ""Body soap"", ""Cooking basics"", ""Electric stove"", ""Freezer"", ""Refrigerator"", ""Wifi"", ""Oven"", ""City skyline view"", ""Cleaning products"", ""Hangers"", ""Coffee"", ""First aid kit"", ""Iron"", ""Wine glasses"", ""Long term stays allowed"", ""Paid parking garage on premises"", ""Dining table"", ""Shampoo"", ""Clothing storage: closet""]",48,2,1.0986122886681098,163,4.9,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33206660386034276,0.5233466123817591,0.576841084832127,0.09858819969210096,1.4491631188270842,-0.4761961232638695
1897982,0,1450.0,Lat Krabang,Entire home/apt,Entire rental unit,Apartment / Condo,13.7196,100.73106,2,1.0,1.0,1.0,"[""Air conditioning"", ""Refrigerator"", ""Heating"", ""TV with standard cable""]",4,1,0.6931471805599453,43,4.14,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-1.599216664445328,-0.8235895779098978
2199975,1,912.0,Chatu Chak,Entire home/apt,Entire loft,Apartment / Condo,13.82824,100.56594,4,2.0,1.0,2.0,"[""Hot water"", ""Gym"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Building staff"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Free street parking"", ""Self check-in"", ""Dishes and silverware"", ""Microwave"", ""Washer"", ""Refrigerator"", ""Wifi"", ""Hangers"", ""Iron"", ""Long term stays allowed"", ""TV with standard cable"", ""Air conditioning"", ""Pool"", ""Shampoo""]",24,28,3.367295829986474,20,4.95,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33206660386034276,0.5233466123817591,-0.38063859331480204,0.09858819969210096,-0.21358949023059526,1.4675612979219916
2368241,0,1243.0,Ratchathewi,Entire home/apt,Entire rental unit,Apartment / Condo,13.75156,100.52988,4,1.0,1.0,1.0,"[""Heating"", ""Free parking on premises"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Long term stays allowed"", ""Indoor fireplace"", ""TV with standard cable"", ""Air conditioning"", ""Washer"", ""Pool"", ""Wifi"", ""Hangers"", ""High chair""]",14,5,1.791759469228055,75,4.23,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33206660386034276,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.9064030773379617,0.11767690999510516
2637770,0,1800.0,Yan na wa,Entire home/apt,Entire rental unit,Apartment / Condo,13.67892,100.5265,2,1.0,1.0,1.0,"[""Carbon monoxide alarm"", ""Free parking on premises"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Indoor fireplace"", ""Air conditioning"", ""TV with standard cable"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Wifi"", ""Gym""]",13,3,1.3862943611198906,0,,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,-0.44679881514846587,-0.9756844360486983,-0.2297165446509231
2753594,1,1131.0,Chatu Chak,Entire home/apt,Entire rental unit,Apartment / Condo,13.81892,100.56602,2,1.0,1.0,2.0,"[""Carbon monoxide alarm"", ""Dedicated workspace"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Elevator"", ""Dryer"", ""Hot water"", ""Air conditioning"", ""Fire extinguisher"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Wifi"", ""Gym"", ""Self check-in"", ""Lockbox"", ""Hangers""]",18,14,2.70805020110221,90,4.6,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5157870518326639,-0.33912652952170214,-0.38063859331480204,0.09858819969210096,-0.629277642495015,0.902734357456121
