listing_id,price,room_type,property_type,property_base_group,accommodates,bedrooms,bathrooms,beds,amenities_count,minimum_nights,minimum_nights_log
105042,5600.0,Entire home/apt,Entire rental unit,Apartment / Condo,5,3.0,3.5,3.0,31,28,3.367295829986474
172332,1170.0,Entire home/apt,Entire guesthouse,Guesthouse / B&B,2,1.0,1.5,1.0,30,3,1.3862943611198906
428950,810.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,20,1,0.6931471805599453
811670,2031.0,Entire home/apt,Entire home,House / Home,4,2.0,2.0,2.0,40,3,1.3862943611198906
1887544,3735.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,48,2,1.0986122886681098
1897982,1450.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,4,1,0.6931471805599453
2199975,912.0,Entire home/apt,Entire loft,Apartment / Condo,4,2.0,1.0,2.0,24,28,3.367295829986474
2368241,1243.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,1.0,1.0,1.0,14,5,1.791759469228055
2637770,1800.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,13,3,1.3862943611198906
2753594,1131.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,2.0,18,14,2.70805020110221
2983684,2578.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,2.0,2.0,38,1,0.6931471805599453
2988144,1804.0,Private room,Private room,Unspecified Property Type,2,1.0,1.0,1.0,11,3,1.3862943611198906
2999242,880.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,23,5,1.791759469228055
3761988,805.0,Private room,Private room in townhouse,House / Home,3,1.0,1.5,2.0,35,1,0.6931471805599453
3851325,1080.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,1.0,19,30,3.4339872044851463
3940735,3424.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,3.0,4.0,15,1,0.6931471805599453
4124073,319.0,Shared room,Shared room in hostel,Hostel,8,1.0,2.0,8.0,18,1,0.6931471805599453
4425076,1731.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,18,5,1.791759469228055
4471377,717.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,36,1,0.6931471805599453
5016431,1591.0,Entire home/apt,Entire condo,Apartment / Condo,3,1.0,1.0,1.0,20,1,0.6931471805599453
5030747,822.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,2.0,1.0,17,7,2.0794415416798357
5935448,1226.0,Private room,Private room in guesthouse,Guesthouse / B&B,3,3.0,1.0,2.0,21,1,0.6931471805599453
5971468,515.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,25,31,3.4657359027997265
6398846,790.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,46,1,0.6931471805599453
6838057,1620.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,2.0,30,90,4.51085950651685
6846631,1268.0,Entire home/apt,Entire chalet,House / Home,8,4.0,3.0,7.0,29,28,3.367295829986474
6855235,45000.0,Private room,Private room in guest suite,House / Home,1,1.0,1.0,1.0,10,365,5.902633333401366
7063763,1255.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,44,6,1.9459101490553132
7527620,720.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,21,3,1.3862943611198906
7536072,1080.0,Entire home/apt,Entire condo,Apartment / Condo,3,2.0,2.0,2.0,48,30,3.4339872044851463
7550675,884.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,9,28,3.367295829986474
7702228,2800.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,3,2.0,1.0,2.0,16,1,0.6931471805599453
7708975,3550.0,Entire home/apt,Entire rental unit,Apartment / Condo,5,2.0,1.0,3.0,11,1,0.6931471805599453
7755724,3828.0,Entire home/apt,Entire home,House / Home,7,3.0,3.0,4.0,52,2,1.0986122886681098
8143524,815.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,27,14,2.70805020110221
8232526,872.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,19,28,3.367295829986474
8703776,3402.0,Entire home/apt,Entire condo,Apartment / Condo,6,3.0,2.5,4.0,39,1,0.6931471805599453
8801560,490.0,Entire home/apt,Entire condo,Apartment / Condo,4,0.0,1.0,1.0,36,29,3.4011973816621555
8810615,4000.0,Private room,Private room in condo,Apartment / Condo,5,1.0,1.0,2.0,11,1,0.6931471805599453
8869617,949.0,Entire home/apt,Entire condo,Apartment / Condo,2,0.0,1.0,1.0,25,24,3.2188758248682006
9096300,616.0,Entire home/apt,Entire condo,Apartment / Condo,3,1.0,1.0,3.0,31,30,3.4339872044851463
9210468,1160.0,Private room,Private room in rental unit,Apartment / Condo,3,1.0,1.0,1.0,16,30,3.4339872044851463
9265221,1472.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,31,1,0.6931471805599453
9335336,1076.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,2.0,3.0,19,4,1.6094379124341003
9519042,1483.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,9,90,4.51085950651685
9534223,1525.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,1.0,1.0,2.0,25,2,1.0986122886681098
9581611,806.0,Entire home/apt,Entire rental unit,Apartment / Condo,5,2.0,1.0,3.0,24,1,0.6931471805599453
9800543,498.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,19,30,3.4339872044851463
10090404,3076.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,10,4.0,4.0,8.0,32,1,0.6931471805599453
10125869,1820.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,2.0,14,1,0.6931471805599453
10262184,2380.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,28,2,1.0986122886681098
10276793,2255.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,6.0,32,30,3.4339872044851463
10487501,1046.0,Entire home/apt,Entire guest suite,House / Home,2,1.0,1.0,1.0,30,1,0.6931471805599453
11105435,1200.0,Entire home/apt,Entire guest suite,House / Home,2,1.0,1.0,1.0,32,1,0.6931471805599453
11231202,1333.0,Entire home/apt,Entire home,House / Home,2,1.0,1.0,2.0,27,1,0.6931471805599453
11499759,2850.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,6,2,1.0986122886681098
11657716,1110.0,Private room,Private room in condo,Apartment / Condo,1,1.0,1.0,1.0,10,2,1.0986122886681098
11718353,3180.0,Entire home/apt,Entire condo,Apartment / Condo,3,2.0,2.0,2.0,53,21,3.091042453358316
12326209,806.0,Private room,Private room in rental unit,Apartment / Condo,2,2.0,1.0,1.0,14,1,0.6931471805599453
12332076,600.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,34,1,0.6931471805599453
12388042,932.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,22,2,1.0986122886681098
12717160,960.0,Entire home/apt,Entire condo,Apartment / Condo,4,1.0,1.5,1.0,22,14,2.70805020110221
13421794,819.0,Private room,Private room in home,House / Home,2,1.0,2.0,2.0,13,1,0.6931471805599453
13468565,819.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,14,10,2.3978952727983707
13667706,1265.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,2.0,57,2,1.0986122886681098
13746970,720.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,28,1,0.6931471805599453
13777036,2225.0,Hotel room,Room in boutique hotel,Hotel / Resort,2,1.0,1.0,1.0,22,1,0.6931471805599453
13902664,2470.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,1.0,2.0,42,1,0.6931471805599453
13983243,10000.0,Entire home/apt,Entire townhouse,House / Home,4,2.0,2.0,1.0,9,1,0.6931471805599453
14033158,1683.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,17,2,1.0986122886681098
14207038,836.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.5,1.0,19,1,0.6931471805599453
14542513,1400.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,12,1,0.6931471805599453
14544859,1414.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,1.0,45,1,0.6931471805599453
14748680,1522.0,Entire home/apt,Entire condo,Apartment / Condo,3,1.0,1.0,1.0,23,14,2.70805020110221
14927725,1472.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,2,1.0,1.0,1.0,32,1,0.6931471805599453
15104072,2983.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,28,2,1.0986122886681098
15347934,980.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,25,15,2.772588722239781
15380964,1000000.0,Entire home/apt,Entire condo,Apartment / Condo,7,2.0,1.0,6.0,16,1,0.6931471805599453
15432951,1755.0,Private room,Private room in home,House / Home,3,1.0,1.0,3.0,19,1,0.6931471805599453
15607974,3880.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,2,1.0,1.0,1.0,28,1,0.6931471805599453
15609322,5082.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.5,1.0,26,1,0.6931471805599453
15630644,947.0,Private room,Private room in rental unit,Apartment / Condo,3,1.0,1.0,1.0,12,30,3.4339872044851463
15649347,500.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,14,30,3.4339872044851463
15722740,903.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,37,5,1.791759469228055
15752917,1296.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,51,1,0.6931471805599453
15859127,1975.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,78,10,2.3978952727983707
15903961,420.0,Shared room,Shared room in hostel,Hostel,8,1.0,6.0,8.0,13,1,0.6931471805599453
15958606,1244.0,Entire home/apt,Entire condo,Apartment / Condo,3,1.0,1.0,1.0,53,3,1.3862943611198906
16008318,406.0,Shared room,Shared room in hostel,Hostel,4,1.0,0.0,4.0,20,1,0.6931471805599453
16113956,969.0,Private room,Private room in townhouse,House / Home,3,1.0,2.0,2.0,57,2,1.0986122886681098
16197838,879.0,Entire home/apt,Entire rental unit,Apartment / Condo,8,2.0,2.0,6.0,22,1,0.6931471805599453
