neighbourhood,count,actual_mean,actual_median,predicted_mean,predicted_median,mae,median_ae,bias,mape,rmse,small_sample_flag
Bang Bon,1,14400.00000000001,14400.00000000001,2744.9646,2744.9646,11655.035400390634,11655.035400390634,11655.03540000001,0.8093774583604602,11655.03540000001,True
Taling Chan,14,7043.8571428571395,824.5,2448.4526385714285,986.70838,6008.238547188892,246.239990234375,4595.404504285711,0.9225768084412994,19799.714502071176,True
Bangkok Noi,33,7031.575757575761,910.0,1549.6857462424243,963.0079,5850.237489873717,206.44958496093773,5481.8900113333375,0.38418630252464814,30074.756424445855,False
Bang Khun thain,5,3337.000000000001,2220.0,2224.2756520000003,2648.6406,2546.8802124023446,1850.3154296875005,1112.7243480000006,0.933815889067743,3581.4093696412538,True
Bueng Kum,17,3565.764705882353,1075.0000000000002,1503.2603611764705,1074.5613,2159.6122544232535,258.3470458984377,2062.504344705882,0.2791197683536287,6980.888549966125,True
Chom Thong,10,3064.1000000000013,1556.5,1284.625432,1206.1457500000001,2008.894799804689,267.7080078125,1779.4745680000015,0.3632847647513132,4594.843527191714,True
Min Buri,12,2931.2500000000005,1346.0,1378.3066066666668,1061.0801000000001,1635.3666941324875,174.9888305664062,1552.9433933333341,0.29018345861234274,3449.9967367439294,True
Vadhana,769,3228.0572171651497,1829.9999999999995,2895.262034369311,1774.7683,1027.2044912668139,326.43823242187364,332.7951827958389,0.27801584699222,2906.7175494749167,False
Nong Chok,2,1607.0000000000002,1607.0000000000002,647.9233300000001,647.9233300000001,959.0766601562505,959.0766601562505,959.0766700000001,0.39773913779530085,1330.586357567417,True
Thawi Watthana,3,2065.6666666666674,1260.0000000000005,1137.1634466666667,692.4065,928.5032145182298,567.5935058593755,928.5032200000009,0.4181133959230831,1165.319929963221,True
Khan Na Yao,15,1457.666666666667,990.0000000000002,2137.8417406666667,1022.5885,926.2722452799478,479.9385375976562,-680.1750739999999,0.6231676537534457,1665.770836608409,True
Khlong Sam Wa,5,984.7999999999998,903.9999999999995,1672.4219,785.5389,922.2979980468751,414.4611206054688,-687.6219000000003,1.0043121499364285,1455.9623290006284,True
Parthum Wan,125,2976.112,2196.9999999999995,2641.7063448,1935.7251,879.9826079101564,392.1638183593751,334.40565519999984,0.25720436587117984,1751.0101370541315,False
Khlong Toei,626,2538.2412140575075,1587.5000000000005,2183.8763720127795,1535.7427,830.3380334628655,247.99664306640602,354.36484204472816,0.2389530926891467,6170.970680695973,False
Sai Mai,11,2461.1818181818185,2634.0000000000005,2245.9863372727273,2476.9207,819.2674754749646,700.896240234375,215.19548090909123,0.27463309070406594,1176.492923203641,True
Khlong San,97,2128.9896907216494,1086.0000000000002,1525.5451180412372,1085.8313,817.2197575519995,180.5989990234375,603.4445726804124,0.22817694025309126,3488.3816171520557,False
Yan na wa,37,1810.5945945945946,1264.0000000000002,2270.613953513514,1100.9185,803.6546350427577,250.3846435546874,-460.019358918919,0.3602190863333096,2230.71952000203,False
Samphanthawong,37,2294.6216216216217,1420.9999999999998,2281.107626486487,1660.3324,750.448510247308,431.9008789062491,13.513995135135184,0.3487500248546947,1152.1143150486193,False
Wang Thong Lang,18,1769.2777777777776,1340.9999999999998,1445.8386894444445,1076.7225,734.7461005316839,257.39187622070307,323.43908833333313,0.329051686737249,1416.6301145289399,True
Bang Khen,34,1590.6176470588234,885.0,1387.986173235294,922.70529,720.1724521412569,262.57614135742176,202.6314738235294,0.5692771907411164,1461.4947597752491,False
Bang Kapi,80,1764.9625,921.9999999999995,1480.826798375,975.47543,664.788750457764,155.8665771484379,284.135701625,0.3180578479352883,2166.081523980473,False
Phaya Thai,87,2026.4597701149426,1406.9999999999998,1751.5383480459768,1329.9171,634.6164722661861,243.90673828125037,274.9214220689656,0.2756856940480053,1736.029429437434,False
