property_group,count,actual_mean,actual_median,predicted_mean,predicted_median,mae,median_ae,bias,mape,rmse,small_sample_flag
Tiny,6,2245.8333333333335,1858.4999999999995,1723.04386,1577.6266500000002,867.9236246744795,476.3430175781255,522.7894733333333,0.3127472852138752,1374.8158909081415,True
Entire,3311,2387.054364240411,1483.0,2148.736434729689,1466.8492,737.3388251578544,227.7493896484374,238.31792951072185,0.24941147864243268,3932.6890137981695,False
Room,323,2200.783281733746,1541.9999999999998,2146.224006965944,1602.2765,703.112549961905,358.0185546875009,54.559274767801845,0.342653591761778,1286.8614782683646,False
Private,948,1642.4208860759493,1027.5,1311.692585407173,1069.08755,689.347403876389,219.55966186523432,330.7283006687763,0.3258908934264085,5175.718782893115,False
Castle,1,2455.0,2455.0,1834.4749,1834.4749,620.525146484375,620.525146484375,620.5251000000001,0.2527597338021894,620.5251000000001,True
Lighthouse,1,4169.999999999998,4169.999999999998,3820.2942,3820.2942,349.7058105468732,349.7058105468732,349.70579999999836,0.0838623046874996,349.70579999999836,True
Casa,1,2748.999999999999,2748.999999999999,2486.9487,2486.9487,262.0512695312491,262.0512695312491,262.0512999999992,0.0953260347512729,262.0512999999992,True
Shipping,3,1116.6666666666663,722.0000000000001,1303.6011333333333,799.4557,186.93448893229188,77.45568847656239,-186.93446666666682,0.14250454010221986,242.7255559879515,True
Shared,60,563.5,368.9999999999999,521.8602083333333,396.56105,170.94518381754554,51.14022827148432,41.63979166666662,0.22464748406283858,361.1960083765242,False
Hut,1,899.0000000000001,899.0000000000001,862.596,862.596,36.403991699218864,36.403991699218864,36.40400000000011,0.040493872857863024,36.40400000000011,True
