row_index,listing_id,actual_log_price,predicted_log_price,residual_log,actual_price,predicted_price,absolute_error_price,host_id,neighbourhood,property_type,room_type,price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,instant_bookable,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,calculated_host_listings_count,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_reviews,amenities_count,log_price,residual_price,absolute_percentage_error,price_segment,property_group
23189,1476856145774046591,9.097171673870545,9.978767,-0.8815957211489867,8928.999999999998,21562.717,12633.716796875002,674278389,Yan na wa,Entire rental unit,Entire home/apt,8929.0,4,6.0,4.0,4.0,1,365,True,N/A,,,False,2,2,1,0,0,,,,,,,,,0,7,9.097171673870545,-12633.717000000002,1.4149083656484494,"5,000-10,000 THB",Entire
12339,1275996659240791296,9.04746843900354,9.929262,-0.8817937222513414,8496.0,20521.193,12025.193359375,654249371,Vadhana,Entire home,Entire home/apt,8496.0,10,6.0,6.0,12.0,1,1125,False,within an hour,1.0,0.87,False,8,8,8,1,1,0.09,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1,11,9.047468439003541,-12025.193,1.4153946986081685,"5,000-10,000 THB",Entire
21994,29602527,8.688622307043769,9.660284,-0.9716617353146296,5934.000000000002,15681.238,9747.238281249998,222821655,Ratchathewi,Entire home,Entire home/apt,5934.0,12,4.5,4.0,10.0,1,1125,False,N/A,,,False,1,1,1,0,0,,,,,,,,,0,9,8.688622307043769,-9747.237999999998,1.642608406007751,"5,000-10,000 THB",Entire
20904,889674857337909359,8.999742789830492,9.728861,-0.729118065272047,8100.000000000006,16794.408,8694.408203124993,510737771,Vadhana,Room in boutique hotel,Private room,8100.0,16,5.0,5.0,0.0,1,1125,True,within an hour,0.7,0.5,False,17,17,7,0,0,,,,,,,,,0,16,8.999742789830492,-8694.407999999992,1.0733837287808625,"5,000-10,000 THB",Room
6421,1061369854493607816,8.594339400592892,9.507741,-0.9134015738333776,5400.000000000005,13462.546,8062.545898437495,455276366,Vadhana,Entire rental unit,Entire home/apt,5400.0,4,2.0,2.0,3.0,1,365,False,N/A,,1.0,False,2,2,1,1,0,0.07,5.0,3.0,3.0,3.0,5.0,3.0,3.0,1,43,8.594339400592892,-8062.545999999996,1.4930640552662016,"5,000-10,000 THB",Entire
513,870893156078364550,9.84219708409302,10.175146,-0.3329490188122523,18810.000000000007,26241.777,7431.777343749993,240603715,Suanluang,Room in hotel,Private room,18810.0,16,8.0,8.0,8.0,1,365,False,within an hour,1.0,0.79,False,53,67,46,4,2,0.16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,22,9.842197084093021,-7431.776999999991,0.39509714746145613,"> 10,000 THB",Room
13476,932831291040859340,7.104144092987527,8.943963,-1.8398189578547584,1215.9999999999995,7660.5,6444.5,8134288,Taling Chan,Entire home,Entire home/apt,1216.0,10,4.5,3.0,4.0,90,365,True,within an hour,1.0,1.0,,11,13,6,0,0,,,,,,,,,0,22,7.104144092987527,-6444.5,5.299753289473686,"1,000-2,000 THB",Entire
10004,6203307,8.652423140676342,9.397059,-0.7446362999364506,5723.000000000005,12051.887,6328.886718749995,32170173,Bang Kho laen,Entire home,Entire home/apt,5723.0,6,6.0,5.0,5.0,29,1125,False,N/A,,,False,1,1,1,0,0,,,,,,,,,0,10,8.652423140676342,-6328.886999999996,1.1058687259741378,"5,000-10,000 THB",Entire
9453,1227045953961217702,9.367429587218956,9.795129,-0.4276992351077027,11699.999999999996,17945.113,6245.1132812500055,574804920,Vadhana,Entire rental unit,Entire home/apt,11700.0,6,2.0,3.0,4.0,1,365,False,within a few hours,1.0,0.22,True,293,343,243,0,0,,,,,,,,,0,39,9.367429587218957,-6245.113000000005,0.533770365918804,"> 10,000 THB",Entire
22460,996696391240381595,8.764209507142004,9.408317,-0.6441071051016483,6400.000000000005,12188.334,5788.333984374995,494230160,Khan Na Yao,Entire home,Entire home/apt,6400.0,6,5.0,6.0,7.0,1,365,False,N/A,,,False,1,1,1,0,0,,,,,,,,,0,10,8.764209507142004,-5788.333999999996,0.9044271850585924,"5,000-10,000 THB",Entire
1153,1395739021996643830,9.546884034617923,9.875116,-0.3282323136486766,13999.999999999996,19439.549,5439.5488281250055,220669958,Vadhana,Entire home,Entire home/apt,14000.0,14,6.0,5.0,7.0,1,365,False,within an hour,1.0,0.94,,11,11,7,1,1,0.26,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1,49,9.546884034617925,-5439.549000000003,0.38853920200892905,"> 10,000 THB",Entire
14181,1428950046059574984,6.934397209928558,8.761391,-1.8269934761065985,1025.9999999999995,6381.982,5355.98193359375,239003643,Vadhana,Entire townhouse,Entire home/apt,1026.0,7,2.0,3.0,5.0,3,365,True,within an hour,1.0,1.0,,23,26,1,0,0,,,,,,,,,0,24,6.934397209928558,-5355.982,5.220255295900343,"1,000-2,000 THB",Entire
18859,1508398345723642843,7.661527081358517,8.912774,-1.2512470046400184,2123.999999999999,7425.2334,5301.233398437501,6416010,Vadhana,Entire rental unit,Entire home/apt,2124.0,5,2.0,2.0,2.0,1,365,True,within a day,1.0,1.0,False,1,2,1,0,0,,,,,,,,,0,8,7.661527081358517,-5301.233400000001,2.495872598134418,"2,000-5,000 THB",Entire
18759,1453596757237770167,8.752107198329362,9.356179,-0.6040720390363603,6322.999999999998,11569.098,5246.097656250002,228512596,Khlong Toei,Entire villa,Entire home/apt,6323.0,8,3.5,4.0,4.0,1,365,True,within an hour,1.0,1.0,True,12,12,9,0,0,,,,,,,,,0,13,8.752107198329362,-5246.098000000002,0.8296849053060261,"5,000-10,000 THB",Entire
4834,947565614914500692,8.403800504061147,9.180662,-0.7768616510902202,4463.000000000001,9706.578,5243.578124999999,528956583,Vadhana,Entire home,Entire home/apt,4463.0,6,3.0,3.0,4.0,1,1125,True,a few days or more,0.0,,False,1,1,1,9,0,0.42,4.89,4.89,4.89,5.0,5.0,4.67,4.89,1,32,8.403800504061147,-5243.577999999999,1.1748998711628944,"2,000-5,000 THB",Entire
19838,1225078981571922347,10.003378135350925,10.208139,-0.204761284204741,22099.999999999996,27122.057,5022.056640625007,574804920,Parthum Wan,Entire rental unit,Entire home/apt,22100.0,6,3.0,3.0,4.0,1,365,False,within a few hours,1.0,0.22,True,293,343,243,0,0,,,,,,,,,0,38,10.003378135350923,-5022.057000000004,0.2272423819287334,"> 10,000 THB",Entire
