row_index,listing_id,actual_log_price,predicted_log_price,residual_log,actual_price,predicted_price,absolute_error_price,host_id,neighbourhood,property_type,room_type,price,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,instant_bookable,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,calculated_host_listings_count,number_of_reviews,number_of_reviews_ltm,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_reviews,amenities_count,log_price,residual_price,absolute_percentage_error,price_segment,property_group
20924,917282470605681869,12.124694463173826,9.370837,2.7538572515649395,184368.00000000012,11739.94,172628.05957031265,5126382,Bangkok Noi,Entire villa,Entire home/apt,184368.0,12,6.0,6.0,9.0,1,30,False,N/A,,,False,2,2,1,0,0,,,,,,,,,0,61,12.124694463173826,172628.0600000001,0.9363233292670775,"> 10,000 THB",Entire
10157,31064616,11.938291234784728,7.7784467,4.159844560437804,153013.99999999985,2387.5618,150626.43823242173,20904996,Khlong Toei,Private room in rental unit,Private room,153014.0,2,1.0,1.0,2.0,1,1125,False,N/A,,,False,13,18,1,2,0,0.03,4.0,5.0,4.0,5.0,5.0,5.0,5.0,1,18,11.938291234784728,150626.43819999986,0.9843964489028577,"> 10,000 THB",Private
5811,18276024,11.38510345703214,9.562056,1.8230478692635863,87999.99999999996,14214.036,73785.96386718746,8444643,Taling Chan,Entire home,Entire home/apt,88000.0,16,7.0,7.0,7.0,100,100,False,within an hour,0.6,0.48,False,94,127,67,4,0,0.04,4.0,4.0,3.75,4.0,4.0,2.5,3.5,1,19,11.385103457032141,73785.96399999995,0.8384768621271306,"> 10,000 THB",Entire
14613,36684812,11.461642696843066,10.231123,1.2305197262620116,95000.0,27752.658,67247.34179687501,212222267,Huai Khwang,Entire condo,Entire home/apt,95000.0,2,1.0,1.0,1.0,1,28,False,a few days or more,0.0,,False,4,4,4,1,0,0.01,4.0,4.0,4.0,3.0,5.0,3.0,4.0,1,23,11.461642696843066,67247.342,0.7078667557565791,"> 10,000 THB",Entire
12988,20470771,10.702682512534036,8.076077,2.62660505129136,44474.0,3215.5913,41258.40869140625,34022205,Vadhana,Entire rental unit,Entire home/apt,44474.0,4,2.0,2.0,2.0,3,60,False,within an hour,1.0,0.9,,5,15,4,15,0,0.15,4.93,5.0,4.87,5.0,5.0,4.47,4.73,1,16,10.702682512534036,41258.4087,0.9276972768675237,"> 10,000 THB",Entire
21445,1338194603494273233,10.489856546350628,8.053909,2.435947244592814,35948.00000000001,3145.0698,32802.93017578126,671561951,Khlong San,Entire rental unit,Entire home/apt,35948.0,8,5.5,5.0,7.0,1,365,False,a few days or more,0.0,1.0,False,3,4,1,0,0,,,,,,,,,0,14,10.489856546350627,32802.93020000001,0.9125105757144,"> 10,000 THB",Entire
10406,817969919901272196,10.516400340385468,8.900607,1.615793231315644,36915.00000000003,7335.4263,29579.57373046878,483772460,Vadhana,Entire home,Entire home/apt,36915.0,10,5.0,5.0,5.0,2,365,True,N/A,,,False,1,4,1,6,0,0.2,5.0,5.0,4.83,5.0,5.0,4.83,4.67,1,66,10.516400340385468,29579.57370000003,0.8012887371114386,"> 10,000 THB",Entire
21844,6508765,10.308952660644293,7.338297,2.970655770385504,29999.000000000007,1537.0903,28461.90966796876,33548716,Bueng Kum,Private room in villa,Private room,29999.0,16,1.0,1.0,1.0,1,1125,False,within an hour,1.0,1.0,True,3,3,1,0,0,,,,,,,,,0,29,10.308952660644293,28461.909700000007,0.9487619476638806,"> 10,000 THB",Private
17744,43922699,10.027208479525887,7.0231676,3.0040408693574303,22633.00000000001,1121.336,21511.6639404297,261203953,Phra Khanong,Private room in condo,Private room,22633.0,1,1.0,,1.0,365,365,True,N/A,,,False,1,1,1,0,0,,,,,,,,,0,14,10.027208479525887,21511.66400000001,0.950455703637595,"> 10,000 THB",Private
4152,1459297826598835073,10.129546848931234,8.275182,1.854365078606527,25071.99999999999,3924.236,21147.76391601561,705592500,Huai Khwang,Private room in rental unit,Private room,25072.0,2,1.0,1.0,1.0,1,365,False,N/A,,,False,1,1,1,0,0,,,,,,,,,0,7,10.129546848931234,21147.76399999999,0.8434813304090467,"> 10,000 THB",Private
19224,42561603,10.279970025719807,9.185044,1.094925737084555,29141.99999999997,9749.212,19392.788085937475,130864644,Vadhana,Entire serviced apartment,Entire home/apt,29142.0,6,3.0,3.0,3.0,1,1125,True,within an hour,0.92,0.99,False,10,10,10,0,0,,,,,,,,,0,28,10.279970025719809,19392.78799999997,0.6654583791756741,"> 10,000 THB",Entire
9938,1501235443406946610,10.097243486955746,8.525312,1.571931063249691,24275.0,5039.761,19235.238769531246,150343284,Khlong Toei,Entire home,Entire home/apt,24275.0,6,2.5,3.0,3.0,1,365,False,within an hour,1.0,0.95,True,4,4,4,0,0,,,,,,,,,0,39,10.097243486955746,19235.239,0.7923888267572089,"> 10,000 THB",Entire
3498,1024386846458130317,10.076894491940507,8.732824,1.3440701663789856,23786.00000000001,6202.223,17583.77685546876,515323935,Bang Kapi,Entire home,Entire home/apt,23786.0,6,3.0,3.0,3.0,1,365,True,N/A,,,False,1,1,1,0,0,,,,,,,,,0,5,10.076894491940509,17583.77700000001,0.7392490059475638,"> 10,000 THB",Entire
6863,1381732947169218266,10.561655014200047,9.954899,0.6067561799715318,38624.00000000003,21054.115,17569.88476562503,682491846,Vadhana,Entire villa,Entire home/apt,38624.0,16,6.0,5.0,10.0,1,1125,True,within an hour,0.75,1.0,False,408,621,2,1,1,0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,26,10.561655014200047,17569.885000000028,0.45489552520777277,"> 10,000 THB",Entire
23175,1472282717333266332,10.032364379457016,8.877229,1.1551356425795731,22750.00000000001,7165.902,15584.098144531265,4207633,Vadhana,Entire home,Entire home/apt,22750.0,11,4.0,5.0,5.0,1,1125,False,within an hour,1.0,0.4,False,1,5,1,1,1,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,64,10.032364379457015,15584.09800000001,0.685015303056319,"> 10,000 THB",Entire
19774,1175121329413848325,10.153662442901368,9.281075,0.8725879189755865,25683.99999999999,10731.959,14952.041015624987,94902104,Vadhana,Entire home,Entire home/apt,25684.0,16,7.0,7.0,9.0,1,365,False,within an hour,0.96,1.0,False,9,18,4,16,11,1.02,5.0,5.0,4.81,5.0,5.0,4.75,4.81,1,28,10.153662442901368,14952.040999999988,0.5821539096567899,"> 10,000 THB",Entire
12105,1085954465125917274,9.751908563076688,7.8094025,1.9425060972563752,17186.000000000004,2462.658,14723.342041015629,560797369,Vadhana,Private room in condo,Private room,17186.0,6,2.0,2.0,3.0,28,365,True,within an hour,1.0,1.0,True,1,1,1,26,4,1.35,4.92,4.96,5.0,5.0,5.0,5.0,4.81,1,42,9.751908563076688,14723.342000000004,0.8567055766912386,"> 10,000 THB",Private
3115,35117594,9.61587214452889,6.8604827,2.755389451810384,14999.99999999999,952.82733,14047.172668457022,264510256,Phaya Thai,Entire condo,Entire home/apt,15000.0,2,1.0,1.0,3.0,365,1125,True,N/A,,,False,1,1,1,0,0,,,,,,,,,0,12,9.61587214452889,14047.17266999999,0.9364781778971354,"> 10,000 THB",Entire
