transformed_feature,mean_abs_shap,feature
numeric__accommodates,0.13295677,accommodates
numeric__bathrooms,0.029820193,bathrooms
numeric__bedrooms,0.2160097,bedrooms
numeric__minimum_nights,0.072713204,minimum_nights
numeric__host_response_rate,0.021709653,host_response_rate
numeric__host_acceptance_rate,0.06872081,host_acceptance_rate
numeric__host_listings_count,0.057838034,host_listings_count
numeric__host_total_listings_count,0.059348196,host_total_listings_count
numeric__calculated_host_listings_count,0.11134206,calculated_host_listings_count
review_count__number_of_reviews_ltm,0.048563797,number_of_reviews_ltm
review_score__review_scores_location,0.13820218,review_scores_location
categorical__neighbourhood_Bang Kapi,0.034937683,neighbourhood
categorical__neighbourhood_Bang Khae,0.17805819,neighbourhood
categorical__neighbourhood_Bang Khen,0.11309408,neighbourhood
categorical__neighbourhood_Bang Kho laen,0.020114841,neighbourhood
categorical__neighbourhood_Bang Na,0.047413044,neighbourhood
categorical__neighbourhood_Bang Phlat,0.028521871,neighbourhood
categorical__neighbourhood_Bang Rak,0.10672073,neighbourhood
categorical__neighbourhood_Bang Sue,0.07065466,neighbourhood
categorical__neighbourhood_Bangkok Noi,0.1099717,neighbourhood
categorical__neighbourhood_Bangkok Yai,0.035841517,neighbourhood
categorical__neighbourhood_Bueng Kum,0.114225745,neighbourhood
categorical__neighbourhood_Chatu Chak,0.02012513,neighbourhood
categorical__neighbourhood_Chom Thong,0.06422595,neighbourhood
categorical__neighbourhood_Din Daeng,0.028902613,neighbourhood
categorical__neighbourhood_Don Mueang,0.052485634,neighbourhood
categorical__neighbourhood_Dusit,0.022492245,neighbourhood
categorical__neighbourhood_Huai Khwang,0.013475098,neighbourhood
categorical__neighbourhood_Khan Na Yao,0.04899934,neighbourhood
categorical__neighbourhood_Khlong San,0.051650487,neighbourhood
categorical__neighbourhood_Khlong Toei,0.017968979,neighbourhood
categorical__neighbourhood_Lak Si,0.16669933,neighbourhood
categorical__neighbourhood_Lat Krabang,0.06985687,neighbourhood
categorical__neighbourhood_Lat Phrao,0.051957354,neighbourhood
categorical__neighbourhood_Min Buri,0.18879868,neighbourhood
categorical__neighbourhood_Parthum Wan,0.1487019,neighbourhood
categorical__neighbourhood_Phasi Charoen,0.083193965,neighbourhood
categorical__neighbourhood_Phaya Thai,0.058234982,neighbourhood
categorical__neighbourhood_Phra Khanong,0.054848883,neighbourhood
categorical__neighbourhood_Phra Nakhon,0.03829142,neighbourhood
categorical__neighbourhood_Pom Prap Sattru Phai,0.069304965,neighbourhood
categorical__neighbourhood_Pra Wet,0.07493153,neighbourhood
categorical__neighbourhood_Rat Burana,0.09383916,neighbourhood
categorical__neighbourhood_Ratchathewi,0.029885737,neighbourhood
categorical__neighbourhood_Sai Mai,0.23315519,neighbourhood
categorical__neighbourhood_Samphanthawong,0.1324334,neighbourhood
categorical__neighbourhood_Saphan Sung,0.13052802,neighbourhood
categorical__neighbourhood_Sathon,0.053074855,neighbourhood
categorical__neighbourhood_Suanluang,0.028620798,neighbourhood
categorical__neighbourhood_Taling Chan,0.019366462,neighbourhood
categorical__neighbourhood_Thon buri,0.0135512175,neighbourhood
categorical__neighbourhood_Vadhana,0.047810115,neighbourhood
categorical__neighbourhood_Wang Thong Lang,0.02276815,neighbourhood
categorical__neighbourhood_Yan na wa,0.032138832,neighbourhood
categorical__neighbourhood_infrequent_sklearn,0.09274885,neighbourhood
categorical__room_type_Entire home/apt,0.013949654,room_type
categorical__room_type_Hotel room,0.01344972,room_type
categorical__room_type_Private room,0.009037337,room_type
categorical__room_type_Shared room,0.4200997,room_type
categorical__property_base_group_Apartment / Condo,0.05509388,property_base_group
categorical__property_base_group_Guesthouse / B&B,0.071340054,property_base_group
categorical__property_base_group_Hostel,0.052922897,property_base_group
categorical__property_base_group_Hotel / Resort,0.19232203,property_base_group
categorical__property_base_group_House / Home,0.053608317,property_base_group
categorical__property_base_group_Loft,0.027198857,property_base_group
categorical__property_base_group_Other,0.07626367,property_base_group
categorical__property_base_group_Serviced Apartment / Aparthotel,0.107722975,property_base_group
categorical__property_base_group_Unique Stay,0.10181839,property_base_group
categorical__property_base_group_Villa,0.06049984,property_base_group
categorical__property_base_group_infrequent_sklearn,0.054629516,property_base_group
categorical__host_response_time_N/A,0.13301198,host_response_time
categorical__host_response_time_a few days or more,0.0176844,host_response_time
categorical__host_response_time_within a day,0.036045834,host_response_time
categorical__host_response_time_within a few hours,0.032019682,host_response_time
categorical__host_response_time_within an hour,0.035628576,host_response_time
categorical__host_response_time_infrequent_sklearn,0.1857539,host_response_time
