feature,dtype,missing_count,missing_rate,unique_count
neighbourhood,str,0,0.0,50
room_type,str,0,0.0,4
accommodates,int32,0,0.0,16
bathrooms,float64,60,0.26,31
bedrooms,float64,88,0.38,20
beds,float64,53,0.23,32
minimum_nights,int32,0,0.0,83
maximum_nights,int32,0,0.0,136
instant_bookable,bool,0,0.0,2
host_response_time,str,7,0.03,5
host_response_rate,float64,2756,11.84,54
host_acceptance_rate,float64,1722,7.4,98
host_is_superhost,boolean,1474,6.33,2
host_listings_count,Int32,7,0.03,134
host_total_listings_count,Int32,7,0.03,166
calculated_host_listings_count,int32,0,0.0,90
number_of_reviews,int32,0,0.0,399
number_of_reviews_ltm,int32,0,0.0,137
reviews_per_month,float64,0,0.0,672
review_scores_rating,float64,7158,30.76,141
review_scores_accuracy,float64,7158,30.76,135
review_scores_cleanliness,float64,7158,30.76,147
review_scores_checkin,float64,7159,30.76,134
review_scores_communication,float64,7159,30.76,127
review_scores_location,float64,7159,30.76,149
review_scores_value,float64,7160,30.77,138
has_reviews,int8,0,0.0,2
amenities_count,int32,0,0.0,91
property_base_group,str,0,0.0,11
