feature,in_feature_list,in_x_train,feature_group
accommodates,True,True,numeric
amenities_count,True,True,numeric
bathrooms,True,True,numeric
bedrooms,True,True,numeric
beds,True,True,numeric
calculated_host_listings_count,True,True,numeric
has_reviews,True,True,binary
host_acceptance_rate,True,True,numeric
host_is_superhost,True,True,binary
host_listings_count,True,True,numeric
host_response_rate,True,True,numeric
host_response_time,True,True,categorical
host_total_listings_count,True,True,numeric
instant_bookable,True,True,binary
maximum_nights,True,True,numeric
minimum_nights,True,True,numeric
neighbourhood,True,True,categorical
number_of_reviews,True,True,review_count
number_of_reviews_ltm,True,True,review_count
property_base_group,True,True,categorical
review_scores_accuracy,True,True,review_score
review_scores_checkin,True,True,review_score
review_scores_cleanliness,True,True,review_score
review_scores_communication,True,True,review_score
review_scores_location,True,True,review_score
review_scores_rating,True,True,review_score
review_scores_value,True,True,review_score
reviews_per_month,True,True,review_count
room_type,True,True,categorical
