feature,feature_group,f_score,f_pvalue,mutual_info_score,f_rank,mutual_info_rank
host_total_listings_count,numeric,244.50334851236138,9.147043018937401e-55,0.5747798019160371,6,1
calculated_host_listings_count,numeric,163.3787080804112,2.965879374411083e-37,0.5666558902082106,8,2
host_listings_count,numeric,219.60296655742522,2.1115412991219273e-49,0.5662453462778214,7,3
host_acceptance_rate,numeric,116.42822979668696,4.605414008386435e-27,0.3492607811416124,11,4
accommodates,numeric,7523.850150464962,0.0,0.29894439224327085,1,5
bedrooms,numeric,4810.0906667337995,0.0,0.25510060478675967,2,6
bathrooms,numeric,3347.370369077879,0.0,0.23287845665484008,3,7
minimum_nights,numeric,39.61490053448969,3.162252362028048e-10,0.20598874197402628,12,8
amenities_count,numeric,538.6823843125921,1.6932163496987757e-117,0.20432691700842565,5,9
beds,numeric,2428.9405037447277,0.0,0.19438897509200714,4,10
host_response_rate,numeric,4.811608906000382,0.02828096130580788,0.15946276653342872,18,11
maximum_nights,numeric,0.17637729449473147,0.6745100476470645,0.07609571934346038,25,12
review_scores_location,review_score,117.72882177761971,2.400248270063308e-27,0.07215634343363275,10,13
reviews_per_month,review_count,2.4251115503485456,0.11942174066518817,0.07129506968832455,21,14
review_scores_rating,review_score,21.125301684060698,4.3303563960898785e-06,0.06543589652507364,15,15
has_reviews,binary,160.07346236489428,1.5418550027889826e-36,0.06539575858660429,9,16
review_scores_accuracy,review_score,8.07304471005719,0.0044977351949393824,0.06338362952094156,16,17
number_of_reviews,review_count,3.001081501867669,0.0832255173782562,0.06300636191835007,20,18
review_scores_value,review_score,0.39962405152717384,0.5272912395298264,0.06180742950955631,22,19
review_scores_checkin,review_score,21.52725919886707,3.512102236273883e-06,0.06150063768776093,14,20
review_scores_communication,review_score,7.135431223795222,0.007564119074631022,0.05988616416265691,17,21
number_of_reviews_ltm,review_count,0.3308803075393613,0.5651481423902385,0.05965823287712091,24,22
instant_bookable,binary,0.3850511641681639,0.5349198554460499,0.05067267338222581,23,23
review_scores_cleanliness,review_score,21.75431611415509,3.120452507128445e-06,0.05038073584961422,13,24
host_is_superhost,binary,4.502986763442044,0.033848873665935295,0.04057875356811769,19,25
