feature,tree_importance,n_transformed_features,importance_rank,feature_group
neighbourhood,0.40195164,44,1,categorical
bedrooms,0.14828806,1,2,numeric
room_type,0.14317955,4,3,categorical
property_base_group,0.078887574,11,4,categorical
host_response_time,0.056108467,6,5,categorical
bathrooms,0.025144618,1,6,numeric
accommodates,0.01759836,1,7,numeric
review_scores_location,0.013440901,1,8,review_score
host_response_rate,0.009227312,1,9,numeric
host_listings_count,0.009184024,1,10,numeric
calculated_host_listings_count,0.008587855,1,11,numeric
host_total_listings_count,0.008358212,1,12,numeric
host_acceptance_rate,0.0078275,1,13,numeric
number_of_reviews_ltm,0.0070341947,1,14,review_count
minimum_nights,0.0060244882,1,15,numeric
review_scores_cleanliness,0.0059215035,1,16,review_score
amenities_count,0.0054913214,1,17,numeric
instant_bookable,0.0052492586,1,18,binary
review_scores_value,0.0050609685,1,19,review_score
reviews_per_month,0.004716206,1,20,review_count
number_of_reviews,0.004622283,1,21,review_count
review_scores_accuracy,0.0046203835,1,22,review_score
beds,0.0044918773,1,23,numeric
review_scores_communication,0.004409856,1,24,review_score
review_scores_rating,0.0037391928,1,25,review_score
host_is_superhost,0.003704697,1,26,binary
review_scores_checkin,0.0035877046,1,27,review_score
maximum_nights,0.0035419846,1,28,numeric
has_reviews,0.0,1,29,binary
