feature,feature_group,univariate_rank,tree_rank,tree_importance_mean,high_correlation_flag,selected,reason
neighbourhood,categorical,4,2,0.118802911405508,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
accommodates,numeric,6,1,0.14458949325931061,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
host_total_listings_count,numeric,1,6,0.027761252496309882,True,True,tree importance cao; univariate score tốt
bedrooms,numeric,7,3,0.11556092658385324,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
bathrooms,numeric,8,4,0.05815147154335498,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
calculated_host_listings_count,numeric,2,9,0.02018315492208981,True,True,tree importance cao; univariate score tốt
room_type,categorical,13,5,0.041142335370550426,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
amenities_count,numeric,10,7,0.0223224546393778,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
host_acceptance_rate,numeric,5,12,0.018391854184051808,False,True,tree importance cao; univariate score tốt
host_listings_count,numeric,3,14,0.014850809603384009,True,True,tree importance cao; univariate score tốt
minimum_nights,numeric,9,11,0.01863132291567631,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
review_scores_location,review_score,17,8,0.02120434727435863,False,True,tree importance cao
host_response_time,categorical,15,10,0.0201070802586392,False,True,tree importance cao; univariate score tốt
property_base_group,categorical,12,13,0.01825465942343215,False,True,giữ vì quan trọng nghiệp vụ; tree importance cao; univariate score tốt
host_response_rate,numeric,14,15,0.009956530639508306,False,True,tree importance cao; univariate score tốt
beds,numeric,11,18,0.003995602879405413,False,True,tree importance cao; univariate score tốt
reviews_per_month,review_count,18,16,0.00500826598902937,True,True,tree importance cao
number_of_reviews_ltm,review_count,26,17,0.00497840275754387,True,True,tree importance cao
review_scores_value,review_score,23,19,0.0027901448552689057,False,True,tree importance cao
maximum_nights,numeric,16,23,0.001888849460032266,False,True,giữ để không loại quá mạnh
review_scores_accuracy,review_score,21,21,0.002481068380008089,False,True,giữ để không loại quá mạnh
has_reviews,binary,20,29,-3.5316755398218104e-05,False,True,giữ vì quan trọng nghiệp vụ
number_of_reviews,review_count,22,22,0.0022074834269720845,True,False,loại vì xếp hạng thấp hơn nhóm được giữ; có tương quan cao với feature khác
review_scores_cleanliness,review_score,28,20,0.002520566368518301,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
review_scores_rating,review_score,19,28,0.0004006242577948127,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
instant_bookable,binary,27,24,0.0016944499011789405,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
review_scores_communication,review_score,25,26,0.0008644108199272027,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
review_scores_checkin,review_score,24,27,0.000640439002152654,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
host_is_superhost,binary,29,25,0.0009462962531329666,False,False,loại vì xếp hạng thấp hơn nhóm được giữ
