model,feature_set,trial_number,state,value,duration_seconds,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,XGBRegressor_fold_rows,best_cv_mae,best_cv_r2,cv_rmse_std,mean_fit_time,mean_best_iteration
XGBRegressor,Selected,0,COMPLETE,0.44645579647016503,43.99944,0.02757359293934948,10,11,0.8394633936788146,0.6624074561769746,0.7799726016810132,3.3323645788192616e-08,5.314343038625026,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 0, 'fold': 1, 'rmse': 0.473944512752719, 'mae': 0.3089189012690024, 'r2': 0.6320418069441676, 'fit_time_seconds': 8.88657349999994, 'best_iteration': 767, 'best_n_estimators': 768}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 0, 'fold': 2, 'rmse': 0.41947411497574727, 'mae': 0.2944512280839811, 'r2': 0.6810997779600811, 'fit_time_seconds': 10.823754199998803, 'best_iteration': 1202, 'best_n_estimators': 1203}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 0, 'fold': 3, 'rmse': 0.4608657472568395, 'mae': 0.3030160928916948, 'r2': 0.6425099199622835, 'fit_time_seconds': 8.182379799996852, 'best_iteration': 841, 'best_n_estimators': 842}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 0, 'fold': 4, 'rmse': 0.44168769247010753, 'mae': 0.3002149735328214, 'r2': 0.6813154584208905, 'fit_time_seconds': 9.569494999996095, 'best_iteration': 978, 'best_n_estimators': 979}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 0, 'fold': 5, 'rmse': 0.4363069148954121, 'mae': 0.3050213553136159, 'r2': 0.6566455234308594, 'fit_time_seconds': 6.02291900000273, 'best_iteration': 509, 'best_n_estimators': 510}]",0.30232451021822315,0.6587224973436563,0.021313270242838474,8.697024299998883,859.4
XGBRegressor,Selected,1,COMPLETE,0.4586732595401572,21.92569,0.05092911283433821,8,1,0.9879639408647978,0.9329770563201687,1.0616955533913808,4.329370014459266e-07,0.006149337057087106,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 1, 'fold': 1, 'rmse': 0.48099353597519784, 'mae': 0.3181234527900726, 'r2': 0.6210150546740809, 'fit_time_seconds': 4.14706259999366, 'best_iteration': 390, 'best_n_estimators': 391}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 1, 'fold': 2, 'rmse': 0.4294330166196346, 'mae': 0.3042691194961541, 'r2': 0.665777754814525, 'fit_time_seconds': 4.345871100005752, 'best_iteration': 420, 'best_n_estimators': 421}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 1, 'fold': 3, 'rmse': 0.48061909317078017, 'mae': 0.31585158303756555, 'r2': 0.6112081328969077, 'fit_time_seconds': 4.081839900005434, 'best_iteration': 383, 'best_n_estimators': 384}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 1, 'fold': 4, 'rmse': 0.45599365409218584, 'mae': 0.3125599953778804, 'r2': 0.6603371890174055, 'fit_time_seconds': 5.904807799997798, 'best_iteration': 612, 'best_n_estimators': 613}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 1, 'fold': 5, 'rmse': 0.4463269978429877, 'mae': 0.31363862144925564, 'r2': 0.6406936957852566, 'fit_time_seconds': 3.119554099997913, 'best_iteration': 254, 'best_n_estimators': 255}]",0.31288855443018565,0.6398063654376351,0.0223294459357066,4.319827100000111,411.8
XGBRegressor,Selected,2,COMPLETE,0.44187276001405973,70.577625,0.02279379523765072,7,7,0.7164916560792167,0.8447411578889518,0.6974693032602092,4.258943089524393e-06,0.037647251670546285,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 2, 'fold': 1, 'rmse': 0.4651419526828885, 'mae': 0.3038092251795395, 'r2': 0.6455830351558927, 'fit_time_seconds': 15.97848299999896, 'best_iteration': 1758, 'best_n_estimators': 1759}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 2, 'fold': 2, 'rmse': 0.41983485847176855, 'mae': 0.29444003403581753, 'r2': 0.680551040176281, 'fit_time_seconds': 7.769153900000674, 'best_iteration': 681, 'best_n_estimators': 682}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 2, 'fold': 3, 'rmse': 0.45248833001903144, 'mae': 0.29876701697298763, 'r2': 0.6553883952851594, 'fit_time_seconds': 17.24484069999744, 'best_iteration': 1997, 'best_n_estimators': 1998}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 2, 'fold': 4, 'rmse': 0.4416106959834697, 'mae': 0.30025129538779244, 'r2': 0.6814265570624328, 'fit_time_seconds': 10.088785100000678, 'best_iteration': 1000, 'best_n_estimators': 1001}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 2, 'fold': 5, 'rmse': 0.4302879629131406, 'mae': 0.2993476945497797, 'r2': 0.6660534846445472, 'fit_time_seconds': 18.832826800004113, 'best_iteration': 1402, 'best_n_estimators': 1403}]",0.2993230532251834,0.6658005024648626,0.01784720538209584,13.982817900000374,1367.6
XGBRegressor,Selected,3,COMPLETE,0.42749306764134076,34.692802,0.03438586247938296,9,3,0.8056937753654446,0.836965827544817,0.23225206359998862,0.0029369981104377003,0.00541289211202473,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 3, 'fold': 1, 'rmse': 0.44631209747109746, 'mae': 0.28613094843685216, 'r2': 0.6736972033263611, 'fit_time_seconds': 6.791688299999805, 'best_iteration': 498, 'best_n_estimators': 499}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 3, 'fold': 2, 'rmse': 0.3982672898619343, 'mae': 0.2720878023850701, 'r2': 0.7125291809597571, 'fit_time_seconds': 7.5376065999953425, 'best_iteration': 620, 'best_n_estimators': 621}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 3, 'fold': 3, 'rmse': 0.4399743723519441, 'mae': 0.2829908181314498, 'r2': 0.6741858864317967, 'fit_time_seconds': 6.912305199999537, 'best_iteration': 566, 'best_n_estimators': 567}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 3, 'fold': 4, 'rmse': 0.43200892858438666, 'mae': 0.28409359639276494, 'r2': 0.695129188108673, 'fit_time_seconds': 6.161279899999499, 'best_iteration': 469, 'best_n_estimators': 470}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 3, 'fold': 5, 'rmse': 0.42090264993734133, 'mae': 0.2845772826734148, 'r2': 0.6804624934633479, 'fit_time_seconds': 6.765918799996143, 'best_iteration': 442, 'best_n_estimators': 443}]",0.28197608960391035,0.6872007904579872,0.01889385841612007,6.833759759998065,519.0
XGBRegressor,Selected,4,COMPLETE,0.44014672887736006,86.820072,0.011926324174062874,10,15,0.9233589392465844,0.7218455076693483,0.48836057003191935,0.014391207615728067,0.07818241443918982,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 4, 'fold': 1, 'rmse': 0.467420857105115, 'mae': 0.3024132701338739, 'r2': 0.642101685202825, 'fit_time_seconds': 14.345845600000757, 'best_iteration': 1366, 'best_n_estimators': 1367}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 4, 'fold': 2, 'rmse': 0.4119018097688921, 'mae': 0.28684950111603674, 'r2': 0.6925093680755412, 'fit_time_seconds': 18.439333599999372, 'best_iteration': 1984, 'best_n_estimators': 1985}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 4, 'fold': 3, 'rmse': 0.45586354343424695, 'mae': 0.2960209511347313, 'r2': 0.6502281483207755, 'fit_time_seconds': 15.60415759999887, 'best_iteration': 1530, 'best_n_estimators': 1531}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 4, 'fold': 4, 'rmse': 0.4367028984891579, 'mae': 0.2933575235861109, 'r2': 0.6884680806950876, 'fit_time_seconds': 19.13316230000055, 'best_iteration': 1997, 'best_n_estimators': 1998}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 4, 'fold': 5, 'rmse': 0.42884453558938845, 'mae': 0.2958972332018289, 'r2': 0.6682902147926614, 'fit_time_seconds': 18.355345300005865, 'best_iteration': 1919, 'best_n_estimators': 1920}]",0.29490769583451637,0.6683194994173781,0.021956043169847696,17.175568880001084,1759.2
XGBRegressor,Selected,5,PRUNED,0.4795709204769779,20.250355,0.013916438390377948,6,1,0.9637281608315128,0.7035119926400067,3.31261142176991,6.388511557344611e-06,0.17251551495698952,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 5, 'fold': 1, 'rmse': 0.5048950567088298, 'mae': 0.3396346619415192, 'r2': 0.5824142059229831, 'fit_time_seconds': 9.916945599994506, 'best_iteration': 1113, 'best_n_estimators': 1114}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 5, 'fold': 2, 'rmse': 0.45424678424512593, 'mae': 0.32880248972960396, 'r2': 0.6260373645571602, 'fit_time_seconds': 10.128973799997766, 'best_iteration': 1100, 'best_n_estimators': 1101}]",,,,,
XGBRegressor,Selected,6,PRUNED,0.49293487247540063,12.189145,0.04395225692486303,4,15,0.9100531293444458,0.9757995766256756,4.474136752138244,0.002404915432737351,9.225899874801096,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 6, 'fold': 1, 'rmse': 0.5194921140681934, 'mae': 0.3513596694528797, 'r2': 0.5579194608462299, 'fit_time_seconds': 6.711489499997697, 'best_iteration': 767, 'best_n_estimators': 768}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 6, 'fold': 2, 'rmse': 0.46637763088260786, 'mae': 0.33993833127759165, 'r2': 0.6057970112401703, 'fit_time_seconds': 5.293151300000318, 'best_iteration': 546, 'best_n_estimators': 547}]",,,,,
XGBRegressor,Selected,7,PRUNED,0.4636713133611463,37.44346,0.012707942999213693,4,1,0.7301321323053057,0.7554709158757928,1.3567451588694794,0.28749982347407854,0.03422998896745789,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 7, 'fold': 1, 'rmse': 0.4858742192835365, 'mae': 0.32632134318843026, 'r2': 0.613284846598019, 'fit_time_seconds': 16.92545909999899, 'best_iteration': 1993, 'best_n_estimators': 1994}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 7, 'fold': 2, 'rmse': 0.4414684074387561, 'mae': 0.31791766255038995, 'r2': 0.6467812506609527, 'fit_time_seconds': 20.221100300004764, 'best_iteration': 1996, 'best_n_estimators': 1997}]",,,,,
XGBRegressor,Selected,8,PRUNED,0.4860600253046725,11.838896,0.02139954903017622,7,3,0.9208787923016158,0.6298202574719083,4.9344346830025865,0.08916674715636537,0.007156194022692475,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 8, 'fold': 1, 'rmse': 0.511858621666948, 'mae': 0.34713403980765317, 'r2': 0.5708159987512389, 'fit_time_seconds': 4.575811499998963, 'best_iteration': 447, 'best_n_estimators': 448}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 8, 'fold': 2, 'rmse': 0.46026142894239713, 'mae': 0.33506172567933434, 'r2': 0.6160685830725963, 'fit_time_seconds': 7.107030999999552, 'best_iteration': 810, 'best_n_estimators': 811}]",,,,,
XGBRegressor,Selected,9,COMPLETE,0.4365651075049798,96.485466,0.010150665434429315,9,11,0.8916028672163949,0.9085081386743783,0.3702232586704518,1.683416412018213e-05,0.0031503318255412553,"[{'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 9, 'fold': 1, 'rmse': 0.46188498814616075, 'mae': 0.29717116947909766, 'r2': 0.6505289753885286, 'fit_time_seconds': 18.717387000004237, 'best_iteration': 1741, 'best_n_estimators': 1742}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 9, 'fold': 2, 'rmse': 0.4114824590871356, 'mae': 0.2854861176374106, 'r2': 0.6931351520072064, 'fit_time_seconds': 18.312773300000117, 'best_iteration': 1681, 'best_n_estimators': 1682}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 9, 'fold': 3, 'rmse': 0.4505355748783064, 'mae': 0.2923214199925409, 'r2': 0.6583563834797105, 'fit_time_seconds': 18.272996200001216, 'best_iteration': 1724, 'best_n_estimators': 1725}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 9, 'fold': 4, 'rmse': 0.4346542994379198, 'mae': 0.2906601670885149, 'r2': 0.6913840543249106, 'fit_time_seconds': 20.345945199995185, 'best_iteration': 1997, 'best_n_estimators': 1998}, {'model': 'XGBRegressor', 'feature_set': 'Selected', 'trial_number': 9, 'fold': 5, 'rmse': 0.42426821597537623, 'mae': 0.2912521100308176, 'r2': 0.675331976162715, 'fit_time_seconds': 19.723050699998566, 'best_iteration': 1964, 'best_n_estimators': 1965}]",0.29137819684567634,0.6737473082726142,0.02012631545220084,19.074430479999865,1821.4
