model,fold,n_train,n_validation,n_features,mae,rmse,r2,adjusted_r2,fit_time_seconds,predict_time_seconds,status,error_message,feature_set,n_raw_features
XGBRegressor,1,14894,3724,70.0,0.3129198227880527,0.47722146605911225,0.6269359335731549,0.6197871559520547,2.8432908000031603,0.10816360000171699,success,,Top 10,10
XGBRegressor,2,14894,3724,69.0,0.298504850387093,0.4287005830939871,0.6669168699192038,0.6606271227994516,2.1320542999965255,0.11206980000133626,success,,Top 10,10
XGBRegressor,3,14894,3724,69.0,0.3035179789402026,0.452274700137984,0.6557137161943218,0.6492124152685989,2.407932800000708,0.10178770000493387,success,,Top 10,10
XGBRegressor,4,14895,3723,70.0,0.30475825257031763,0.45088538008800894,0.6679047154754021,0.6615392527380741,2.094169600000896,0.10665700000390643,success,,Top 10,10
XGBRegressor,5,14895,3723,69.0,0.30702322721515024,0.44383654682811413,0.6446922807649071,0.6379810208067299,2.3273639000035473,0.10926269999617944,success,,Top 10,10
XGBRegressor,1,14894,3724,75.0,0.29102936305932237,0.45020458549924747,0.6679807173855891,0.6611546630555231,2.4573009999949136,0.12783180000405991,success,,Top 15,15
XGBRegressor,2,14894,3724,74.0,0.2793307466924775,0.40660220846135914,0.7003709239087377,0.6942945874793724,2.7443308000001707,0.10441239999636309,success,,Top 15,15
XGBRegressor,3,14894,3724,74.0,0.2895224548152785,0.4444915560672426,0.6674613245627025,0.6607175969709349,2.5191670000058366,0.10357120000116993,success,,Top 15,15
XGBRegressor,4,14895,3723,75.0,0.2855418416876059,0.4291205380375381,0.6991922624372835,0.6930061970911898,2.7647452000019257,0.11241600000357721,success,,Top 15,15
XGBRegressor,5,14895,3723,74.0,0.2899177055521484,0.4251256255584067,0.6740183978701284,0.6674058324760466,2.484732400000212,0.10580420000042068,success,,Top 15,15
XGBRegressor,1,14894,3724,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 20,20
XGBRegressor,2,14894,3724,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 20,20
XGBRegressor,3,14894,3724,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 20,20
XGBRegressor,4,14895,3723,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 20,20
XGBRegressor,5,14895,3723,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 20,20
XGBRegressor,1,14894,3724,,,,,,,,failed,SimpleImputer does not support data with dtype bool. Please provide either a numeric array (with a floating point or integer dtype) or categorical data represented either as an array with integer dtype or an array of string values with an object dtype.,Top 22,22
