feature,importance_mean,importance_std,importance_rank
accommodates,0.12706108859768778,0.005792468284426205,1
neighbourhood,0.10702161252844253,0.004875722506799579,2
bedrooms,0.0971364811584924,0.003489639502692657,3
host_total_listings_count,0.07410964749731942,0.009633106779092345,4
host_listings_count,0.04458713518904187,0.0024194815231842683,5
room_type,0.04015439278156132,0.0025683778786232824,6
minimum_nights,0.03512974890160381,0.0019282371119441787,7
host_acceptance_rate,0.03431715553890138,0.0013219224089172344,8
bathrooms,0.029750479556727605,0.0016035183116680407,9
amenities_count,0.029718545354621862,0.0037336061986456928,10
host_response_time,0.02579294203743564,0.0030649868355604945,11
calculated_host_listings_count,0.024680767508522272,0.0021443798587588783,12
property_base_group,0.0242855262824473,0.0013737784190098613,13
host_response_rate,0.019557800735307208,0.0026329822943697502,14
review_scores_location,0.015116356037336165,0.0009786375911658403,15
maximum_nights,0.007075694295213875,0.0006612871901361646,16
number_of_reviews_ltm,0.007046813993919721,0.0006586958167957181,17
reviews_per_month,0.006971474592302562,0.0005591631796503559,18
review_scores_value,0.0036959624564128156,0.0013465181929199939,19
beds,0.0032064917411195994,0.0008425084501848032,20
review_scores_accuracy,0.0025531702463154173,0.001604659991910553,21
has_reviews,2.8014411649124326e-06,8.113518131240864e-07,22
