transformed_feature,display_feature,mean_abs_shap,mean_signed_shap,raw_feature,importance_rank
categorical__host_response_time_infrequent_sklearn,host_response_time_infrequent_sklearn,0.5389246,0.5389246,host_response_time,1
categorical__room_type_Shared room,room_type_Shared room,0.48675513,-0.48675513,room_type,2
numeric__bedrooms,bedrooms,0.22207862,0.059804793,bedrooms,3
categorical__property_base_group_Hotel / Resort,property_base_group_Hotel / Resort,0.21900335,0.21900335,property_base_group,4
categorical__neighbourhood_Min Buri,neighbourhood_Min Buri,0.21866372,-0.21866372,neighbourhood,5
categorical__neighbourhood_Lak Si,neighbourhood_Lak Si,0.20537955,-0.20537955,neighbourhood,6
categorical__neighbourhood_Parthum Wan,neighbourhood_Parthum Wan,0.19320665,0.19320665,neighbourhood,7
categorical__neighbourhood_Sai Mai,neighbourhood_Sai Mai,0.19051084,-0.19051084,neighbourhood,8
categorical__neighbourhood_Lat Phrao,neighbourhood_Lat Phrao,0.17345858,-0.17345858,neighbourhood,9
categorical__neighbourhood_Saphan Sung,neighbourhood_Saphan Sung,0.17232296,-0.17232296,neighbourhood,10
categorical__neighbourhood_Bang Khae,neighbourhood_Bang Khae,0.15956745,-0.15956745,neighbourhood,11
categorical__neighbourhood_Don Mueang,neighbourhood_Don Mueang,0.13568178,-0.13568178,neighbourhood,12
categorical__neighbourhood_Bueng Kum,neighbourhood_Bueng Kum,0.13452145,-0.13452145,neighbourhood,13
categorical__neighbourhood_Rat Burana,neighbourhood_Rat Burana,0.12305949,-0.12305949,neighbourhood,14
categorical__property_base_group_Villa,property_base_group_Villa,0.118825525,0.118825525,property_base_group,15
categorical__neighbourhood_infrequent_sklearn,neighbourhood_infrequent_sklearn,0.115416564,-0.114142366,neighbourhood,16
categorical__neighbourhood_Samphanthawong,neighbourhood_Samphanthawong,0.11386006,0.11386006,neighbourhood,17
categorical__neighbourhood_Bang Rak,neighbourhood_Bang Rak,0.11054279,0.11054279,neighbourhood,18
categorical__property_base_group_Serviced Apartment / Aparthotel,property_base_group_Serviced Apartment / Aparthotel,0.098656744,0.098656744,property_base_group,19
categorical__neighbourhood_Bangkok Noi,neighbourhood_Bangkok Noi,0.09778082,-0.09762057,neighbourhood,20
categorical__neighbourhood_Bang Khen,neighbourhood_Bang Khen,0.093727134,-0.093717754,neighbourhood,21
categorical__host_response_time_N/A,host_response_time_N/A,0.092349716,0.09220035,host_response_time,22
numeric__amenities_count,amenities_count,0.09153834,0.022525206,amenities_count,23
categorical__neighbourhood_Phasi Charoen,neighbourhood_Phasi Charoen,0.091512196,-0.091512196,neighbourhood,24
numeric__accommodates,accommodates,0.090779714,0.029715704,accommodates,25
categorical__neighbourhood_Vadhana,neighbourhood_Vadhana,0.09053543,0.09052406,neighbourhood,26
review_score__review_scores_location,review_scores_location,0.08733346,-0.021061577,review_scores_location,27
categorical__neighbourhood_Sathon,neighbourhood_Sathon,0.085198276,0.085198276,neighbourhood,28
numeric__host_total_listings_count,host_total_listings_count,0.08505834,-3.941808e-05,host_total_listings_count,29
categorical__neighbourhood_Pom Prap Sattru Phai,neighbourhood_Pom Prap Sattru Phai,0.08420765,0.08420765,neighbourhood,30
categorical__neighbourhood_Phra Nakhon,neighbourhood_Phra Nakhon,0.08355907,0.08355907,neighbourhood,31
numeric__calculated_host_listings_count,calculated_host_listings_count,0.08156438,0.0069483253,calculated_host_listings_count,32
categorical__neighbourhood_Pra Wet,neighbourhood_Pra Wet,0.08118465,-0.081056684,neighbourhood,33
categorical__neighbourhood_Ratchathewi,neighbourhood_Ratchathewi,0.07264391,0.07261926,neighbourhood,34
categorical__neighbourhood_Taling Chan,neighbourhood_Taling Chan,0.06786217,-0.06786088,neighbourhood,35
numeric__host_listings_count,host_listings_count,0.066706784,0.05675142,host_listings_count,36
categorical__property_base_group_infrequent_sklearn,property_base_group_infrequent_sklearn,0.063077934,0.063077934,property_base_group,37
review_score__review_scores_accuracy,review_scores_accuracy,0.061351985,0.0007106718,review_scores_accuracy,38
categorical__neighbourhood_Lat Krabang,neighbourhood_Lat Krabang,0.0609398,-0.060923856,neighbourhood,39
categorical__neighbourhood_Dusit,neighbourhood_Dusit,0.05872453,0.05872453,neighbourhood,40
numeric__bathrooms,bathrooms,0.05594941,-0.01185768,bathrooms,41
categorical__property_base_group_Loft,property_base_group_Loft,0.055339295,0.055339295,property_base_group,42
review_count__reviews_per_month,reviews_per_month,0.05362881,0.011467085,reviews_per_month,43
categorical__neighbourhood_Bangkok Yai,neighbourhood_Bangkok Yai,0.051555518,-0.049530983,neighbourhood,44
categorical__neighbourhood_Phaya Thai,neighbourhood_Phaya Thai,0.050530337,0.049736172,neighbourhood,45
numeric__host_acceptance_rate,host_acceptance_rate,0.048193846,0.014949947,host_acceptance_rate,46
numeric__maximum_nights,maximum_nights,0.048055694,-0.0069560003,maximum_nights,47
categorical__neighbourhood_Khlong San,neighbourhood_Khlong San,0.04691947,0.04691947,neighbourhood,48
numeric__minimum_nights,minimum_nights,0.045511883,0.026642576,minimum_nights,49
categorical__property_base_group_Guesthouse / B&B,property_base_group_Guesthouse / B&B,0.04240072,-0.04214242,property_base_group,50
categorical__property_base_group_Other,property_base_group_Other,0.042012423,-0.041829534,property_base_group,51
