raw_feature,mean_abs_shap_sum,mean_abs_shap_mean,n_transformed_features,importance_rank
neighbourhood,3.5977104,0.08176614,44,1
property_base_group,0.7400587,0.067278065,11,2
host_response_time,0.7224752,0.12041253,6,3
room_type,0.5279627,0.13199067,4,4
bedrooms,0.22207862,0.22207862,1,5
amenities_count,0.09153834,0.09153834,1,6
accommodates,0.090779714,0.090779714,1,7
review_scores_location,0.08733346,0.08733346,1,8
host_total_listings_count,0.08505834,0.08505834,1,9
calculated_host_listings_count,0.08156438,0.08156438,1,10
host_listings_count,0.066706784,0.066706784,1,11
review_scores_accuracy,0.061351985,0.061351985,1,12
bathrooms,0.05594941,0.05594941,1,13
reviews_per_month,0.05362881,0.05362881,1,14
host_acceptance_rate,0.048193846,0.048193846,1,15
maximum_nights,0.048055694,0.048055694,1,16
minimum_nights,0.045511883,0.045511883,1,17
review_scores_value,0.039843768,0.039843768,1,18
number_of_reviews_ltm,0.03170602,0.03170602,1,19
host_response_rate,0.031503197,0.031503197,1,20
beds,0.030421503,0.030421503,1,21
has_reviews,5.0488516e-06,5.0488516e-06,1,22
