feature,permutation_importance,permutation_rank,grouped_mean_abs_shap,shap_rank,permutation_importance_pct,shap_importance_pct,rank_difference,spearman_rho,p_value,n_features
neighbourhood,0.10702161252844253,2,3.5977104,1,14.100862752926552,53.225,1,0.6250705815923208,0.0018679793444118067,22
property_base_group,0.0242855262824473,13,0.7400587,2,3.199791751412546,10.948525,11,0.6250705815923208,0.0018679793444118067,22
host_response_time,0.02579294203743564,11,0.7224752,3,3.398404556532079,10.688392,8,0.6250705815923208,0.0018679793444118067,22
room_type,0.04015439278156132,6,0.5279627,4,5.290628389564042,7.810749,2,0.6250705815923208,0.0018679793444118067,22
bedrooms,0.0971364811584924,3,0.22207862,5,12.798426007215296,3.2854602,2,0.6250705815923208,0.0018679793444118067,22
amenities_count,0.029718545354621862,10,0.09153834,6,3.9156308652215026,1.35423,4,0.6250705815923208,0.0018679793444118067,22
accommodates,0.12706108859768778,1,0.090779714,7,16.741207025611523,1.343007,6,0.6250705815923208,0.0018679793444118067,22
review_scores_location,0.015116356037336165,15,0.08733346,8,1.9916880036749705,1.2920226,7,0.6250705815923208,0.0018679793444118067,22
host_total_listings_count,0.07410964749731942,4,0.08505834,9,9.764476009457823,1.2583641,5,0.6250705815923208,0.0018679793444118067,22
calculated_host_listings_count,0.024680767508522272,12,0.08156438,10,3.251867609283781,1.2066741,2,0.6250705815923208,0.0018679793444118067,22
host_listings_count,0.04458713518904187,5,0.066706784,11,5.8746738999075605,0.98686886,6,0.6250705815923208,0.0018679793444118067,22
review_scores_accuracy,0.0025531702463154173,21,0.061351985,12,0.3363984374518872,0.9076493,9,0.6250705815923208,0.0018679793444118067,22
bathrooms,0.029750479556727605,9,0.05594941,13,3.9198384247076543,0.8277228,4,0.6250705815923208,0.0018679793444118067,22
reviews_per_month,0.006971474592302562,18,0.05362881,14,0.9185416299483188,0.7933916,4,0.6250705815923208,0.0018679793444118067,22
host_acceptance_rate,0.03431715553890138,8,0.048193846,15,4.521530641264425,0.71298605,7,0.6250705815923208,0.0018679793444118067,22
maximum_nights,0.007075694295213875,16,0.048055694,16,0.9322733210729749,0.71094215,0,0.6250705815923208,0.0018679793444118067,22
minimum_nights,0.03512974890160381,7,0.045511883,17,4.628595627585397,0.67330873,10,0.6250705815923208,0.0018679793444118067,22
review_scores_value,0.0036959624564128156,19,0.039843768,18,0.4869694831405736,0.5894539,1,0.6250705815923208,0.0018679793444118067,22
number_of_reviews_ltm,0.007046813993919721,17,0.03170602,19,0.9284681348569308,0.46906298,2,0.6250705815923208,0.0018679793444118067,22
host_response_rate,0.019557800735307208,14,0.031503197,20,2.5768801030199384,0.4660624,6,0.6250705815923208,0.0018679793444118067,22
beds,0.0032064917411195994,20,0.030421503,21,0.42247821623789883,0.45005968,1,0.6250705815923208,0.0018679793444118067,22
has_reviews,2.8014411649124326e-06,22,5.0488516e-06,22,0.00036910990634093157,7.4693366e-05,0,0.6250705815923208,0.0018679793444118067,22
